Gene/Locus,Gene/Locus_name,Gene/Locus_MIM_number,Phenotype,Phenotype_MIM_number,Inheritance,Comments,Gene
"FGFR1, FLT2, OGD, KAL2, HH2, HRTFDS, ECCL",Fibroblast growth factor receptor-1 (fms-related tyrosine kinase-2),136350,Trigonocephaly 1,190440,AD,-,FGFR1
"ADAM9, MDC9, MCMP, CORD9",A disintegrin and metalloproteinase domain 9,602713,Cone-rod dystrophy 9,612775,-,-,ADAM9
"ANK1, SPH1","Ankyrin-1, erythrocytic",612641,"Spherocytosis, type 1",182900,AD,-,ANK1
"KAT6A, MYST3, MOZ, ZNF220, MRD32",K(lysine) acetyltransferase 6A,601408,"Mental retardation, autosomal dominant 32",616268,AD,-,KAT6A
"IKBKB, NFKBIKB, IMD15","Inhibitor of kappa light polypeptide gene enhancer in B cells, kinase of, beta",603258,Immunodeficiency 15,615592,AR,-,IKBKB
"SLC20A2, MLVAR, GLVR2, IBGC1","Solute carrier family 20, phosphate transporter, member 2 (murine leukemia virus, amphotropic, receptor for)",158378,"Basal ganglia calcification, idiopathic, 1",213600,AD,-,SLC20A2
"THAP1, DYT6",THAP domain-containing protein 1,609520,"Dystonia 6, torsion",602629,AD,-,THAP1
"RNF170, SNAX1",RING finger protein 170,614649,"Ataxia, sensory, 1, autosomal dominant",608984,AD,-,RNF170
"POMK, SGK196, MDDGA12, MDDGC12",Protein-O-mannose kinase,615247,"?Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 12",616094,AR,mutation in 1 MDDGC12 family has been reported,POMK
"POMK, SGK196, MDDGA12, MDDGC12",Protein-O-mannose kinase,615247,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 12",615249,AR,-,POMK
"HGSNAT, TMEM76, MPS3C, RP73",Heparan-alpha-glucosaminide N-acetyltransferase,610453,Mucopolysaccharidosis type IIIC (Sanfilippo C),252930,AR,-,HGSNAT
"HGSNAT, TMEM76, MPS3C, RP73",Heparan-alpha-glucosaminide N-acetyltransferase,610453,Retinitis pigmentosa 73,616544,AR,-,HGSNAT
"PRKDC, HYRC1, DNPK1, IMD26","Protein kinase, DNA-activated, catalytic polypeptide (hyperradiosensitivity of murine SCID mutation, complementing-1)",600899,"Immunodeficiency 26, with or without neurologic abnormalities",615966,AR,-,PRKDC
"MCM4, NKGCD, NKCD, IMD54","Minichromosome maintenance deficient, S. cerevisiae, homolog of, 4",602638,Immunodeficiency 54,609981,AR,-,MCM4
"SNAI2, SLUG, WS2D","snail, Drosophila, homolog of, 2 (Neural crest transcription factor SLUG)",602150,Piebaldism,172800,AD,-,SNAI2
"SNAI2, SLUG, WS2D","snail, Drosophila, homolog of, 2 (Neural crest transcription factor SLUG)",602150,"Waardenburg syndrome, type 2D",608890,AR,-,SNAI2
"RB1CC1, CC1, KIAA0203",RB1-inducible coiled-coil 1,606837,"Breast cancer, somatic",114480,-,-,RB1CC1
"SOX17, VUR3",SRY-box 17,610928,Vesicoureteral reflux 3,613674,AD,-,SOX17
"RP1, ORP1",Oxygen-regulated photoreceptor protein-1 (retinitis pigmentosa-1),603937,Retinitis pigmentosa 1,180100,"AD,AR",-,RP1
"PLAG1, SGPA, PSA",Pleomorphic adenoma gene 1,603026,"Adenomas, salivary gland pleomorphic, somatic",181030,-,fused with CTNNB1 in SGPA,PLAG1
"IMPAD1, GPAPP, IMPA3",Inositol monophosphatase domain-containing protein 1,614010,"Chondrodysplasia with joint dislocations, GPAPP type",614078,AR,-,IMPAD1
"CA8, CALS, CARP, CAMRQ3",Carbonic anhydrase VIII,114815,Cerebellar ataxia and mental retardation with or without quadrupedal locomotion 3,613227,AR,-,CA8
"DEL8q12q21, C8DELq12q21",Bor-Duane hydrocephalus contiguous gene syndrome (chromosome 8q12.1-q21.2 deletion syndrome),600257,Bor-Duane hydrocephalus contiguous gene syndrome,600257,AD,-,DEL8q12q21
"CHD7, HH5",Chromodomain helicase DNA binding protein 7,608892,CHARGE syndrome,214800,AD,-,CHD7
"CHD7, HH5",Chromodomain helicase DNA binding protein 7,608892,Hypogonadotropic hypogonadism 5 with or without anosmia,612370,AD,-,CHD7
"ASPH, HAAH, FDLAB",Aspartate beta-hydroxylase (junctin; junctate),600582,Traboulsi syndrome,601552,AR,-,ASPH
"TTPA, TTP1, AVED","Tocopherol, alpha, transfer protein",600415,Ataxia with isolated vitamin E deficiency,277460,AR,-,TTPA
"CYP7B1, CBAS3, SPG5A","Cytochrome P450, subfamily VIIB (oxysterol 7-alpha-hydroxylase), polypeptide 1",603711,"Bile acid synthesis defect, congenital, 3",613812,AR,-,CYP7B1
"CYP7B1, CBAS3, SPG5A","Cytochrome P450, subfamily VIIB (oxysterol 7-alpha-hydroxylase), polypeptide 1",603711,"Spastic paraplegia 5A, autosomal recessive",270800,AR,-,CYP7B1
"DEL8q13, C8DELq13",Mesomelia-synostoses syndrome (Chromosome 8q13 deletion syndrome),600383,Mesomelia-synostoses syndrome,600383,AD,contiguous gene deletion of SULF1 and SLCO5A1,DEL8q13
"CSPP1, CSPP, JBTS21",Centrosome spindle pole-associated protein 1,611654,Joubert syndrome 21,615636,AR,-,CSPP1
"CPA6, CPAH, ETL5, FEB11",Carboxypeptidase A6,609562,"Epilepsy, familial temporal lobe, 5",614417,"AD,AR",-,CPA6
"CPA6, CPAH, ETL5, FEB11",Carboxypeptidase A6,609562,"Febrile seizures, familial, 11",614418,AR,-,CPA6
"EYA1, BOR, BOS1, OFC1","Eyes absent, Drosophila, homolog of, 1",601653,?Otofaciocervical syndrome,166780,AD,mutation identified in 1 OFC1 family,EYA1
"EYA1, BOR, BOS1, OFC1","Eyes absent, Drosophila, homolog of, 1",601653,Anterior segment anomalies with or without cataract,602588,AD,-,EYA1
"EYA1, BOR, BOS1, OFC1","Eyes absent, Drosophila, homolog of, 1",601653,Branchiootic syndrome 1,602588,AD,-,EYA1
"EYA1, BOR, BOS1, OFC1","Eyes absent, Drosophila, homolog of, 1",601653,"Branchiootorenal syndrome 1, with or without cataracts",113650,AD,-,EYA1
"DEL8q21.11, C8DELq21.11",Chromosome 8q21.11 deletion syndrome,614230,Chromosome 8q21.11 deletion syndrome,614230,"AD,IC","contiguous gene deletion; minimal region (GRCh37, 8:77226464-77766239",DEL8q21.11
"TRPA1, ANKTM1, FEPS1","Transient receptor potential cation channel, subfamily A, member 1 (ankyrin-like protein with transmembrane domains 1)",604775,"?Episodic pain syndrome, familial, 1",615040,AD,mutation identified in 1 FEPS1 family,TRPA1
"TMEM70, MC5DN2",Transmembrane protein 70,612418,"Mitochondrial complex V (ATP synthase) deficiency, nuclear type 2",614052,AR,-,TMEM70
"JPH1, JP1, CMT2K",Junctophilin 1,605266,"?Charcot-Marie-Tooth disease, axonal, autosomal dominant, type 2K",607831,"AD,AR",mutation identified in 1 CMT2K family,JPH1
"GDAP1, CMT4A, CMT2K, CMTRIA",Ganglioside-induced differentiation-associated protein 1,606598,"Charcot-Marie-Tooth disease, axonal, type 2K",607831,"AD,AR",-,GDAP1
"GDAP1, CMT4A, CMT2K, CMTRIA",Ganglioside-induced differentiation-associated protein 1,606598,"Charcot-Marie-Tooth disease, axonal, with vocal cord paresis",607706,AR,-,GDAP1
"GDAP1, CMT4A, CMT2K, CMTRIA",Ganglioside-induced differentiation-associated protein 1,606598,"Charcot-Marie-Tooth disease, recessive intermediate, A",608340,AR,-,GDAP1
"GDAP1, CMT4A, CMT2K, CMTRIA",Ganglioside-induced differentiation-associated protein 1,606598,"Charcot-Marie-Tooth disease, type 4A",214400,AR,-,GDAP1
"PEX2, PAF1, PMP35, PBD5A, PBD5B, PXMP3",Peroxisome biogenesis factor 2,170993,Peroxisome biogenesis disorder 5A (Zellweger),614866,AR,-,PEX2
"PEX2, PAF1, PMP35, PBD5A, PBD5B, PXMP3",Peroxisome biogenesis factor 2,170993,Peroxisome biogenesis disorder 5B,614867,AR,-,PEX2
"IMPA1, MRT59",Inositol(myo)-1(or 4)-monophosphatase-1,602064,"Mental retardation, autosomal recessive 59",617323,AR,-,IMPA1
CA2,Carbonic anhydrase II,611492,"Osteopetrosis, autosomal recessive 3, with renal tubular acidosis",259730,AR,"CA1, CA2 linked in monkey and mouse",CA2
"CNGB3, ACHM3, ACHM1","Cyclic nucleotide-gated channel, beta-3",605080,Achromatopsia 3,262300,AR,-,CNGB3
"CNGB3, ACHM3, ACHM1","Cyclic nucleotide-gated channel, beta-3",605080,"Macular degeneration, juvenile",248200,AR,-,CNGB3
"NBN, NBS1",Nibrin,602667,Aplastic anemia,609135,-,-,NBN
"NBN, NBS1",Nibrin,602667,"Leukemia, acute lymphoblastic",613065,-,-,NBN
"NBN, NBS1",Nibrin,602667,Nijmegen breakage syndrome,251260,AR,-,NBN
"OTUD6B, DUBA5, IDDFSDA",OTU domain-containing protein 6B,612021,"Intellectual developmental disorder with dysmorphic facies, seizures, and distal limb anomalies",617452,AR,-,OTUD6B
"DUP8q22.1, C8DUPq22.1",Chromosome 8q22.1 duplication syndrome (Leri pleonosteosis),151200,Leri pleonosteosis chromosome duplication syndrome,151200,AD,duplication of 0.9-1.2 Mb on 8q22.1,DUP8q22.1
"NMLFS, DEL8q22.1, C8DELq22.1",Nablus mask-like facial syndrome (chromosome 8q22.1 deletion syndrome),608156,Nablus mask-like facial syndrome,608156,"AD,IC",-,NMLFS
"TMEM67, MKS3, JBTS6, NPHP11",Transmembrane protein 67 (meckelin),609884,COACH syndrome,216360,AR,-,TMEM67
"TMEM67, MKS3, JBTS6, NPHP11",Transmembrane protein 67 (meckelin),609884,Joubert syndrome 6,610688,AR,-,TMEM67
"TMEM67, MKS3, JBTS6, NPHP11",Transmembrane protein 67 (meckelin),609884,Meckel syndrome 3,607361,AR,-,TMEM67
"TMEM67, MKS3, JBTS6, NPHP11",Transmembrane protein 67 (meckelin),609884,Nephronophthisis 11,613550,AR,-,TMEM67
"TMEM67, MKS3, JBTS6, NPHP11",Transmembrane protein 67 (meckelin),609884,"{Bardet-Biedl syndrome 14, modifier of}",615991,AR,-,TMEM67
"PDP1, PPM2C, PDPC",Pyruvate dehydrogenase phosphatase catalytic subunit 1,605993,Pyruvate dehydrogenase phosphatase deficiency,608782,AR,-,PDP1
RAD54B,"RAD54, S. cerevisiae, homolog of, B",604289,"Colon cancer, somatic",114500,-,-,RAD54B
RAD54B,"RAD54, S. cerevisiae, homolog of, B",604289,"Lymphoma, non-Hodgkin, somatic",605027,-,-,RAD54B
"NDUFAF6, C8orf38","NADH dehydrogenase (ubiquinone) complex I, assembly factor 6",612392,Leigh syndrome due to mitochondrial complex I deficiency,256000,"Mi,AR",-,NDUFAF6
"C8orf37, CORD16, RP64, BBS21",Chromosome 8 open reading frame 37,614477,Bardet-Biedl syndrome 21,617406,AR,-,C8orf37
"C8orf37, CORD16, RP64, BBS21",Chromosome 8 open reading frame 37,614477,Cone-rod dystrophy 16,614500,AR,-,C8orf37
"C8orf37, CORD16, RP64, BBS21",Chromosome 8 open reading frame 37,614477,Retinitis pigmentosa 64,614500,AR,-,C8orf37
"GDF6, MCOP4, KFS1, MCOPCB6, LCA17, SYNS4",Growth/differentiation factor 6,601147,"Klippel-Feil syndrome 1, autosomal dominant",118100,AD,-,GDF6
"GDF6, MCOP4, KFS1, MCOPCB6, LCA17, SYNS4",Growth/differentiation factor 6,601147,Leber congenital amaurosis 17,615360,AR,-,GDF6
"GDF6, MCOP4, KFS1, MCOPCB6, LCA17, SYNS4",Growth/differentiation factor 6,601147,"Microphthalmia with coloboma 6, digenic",613703,AD,-,GDF6
"GDF6, MCOP4, KFS1, MCOPCB6, LCA17, SYNS4",Growth/differentiation factor 6,601147,"Microphthalmia, isolated 4",613094,-,-,GDF6
"GDF6, MCOP4, KFS1, MCOPCB6, LCA17, SYNS4",Growth/differentiation factor 6,601147,Multiple synostoses syndrome 4,617898,AD,-,GDF6
"UQCRB, UQBP, QPC, MC3DN3",Ubiquinol-cytochrome c reductase binding protein,191330,"Mitochondrial complex III deficiency, nuclear type 3",615158,AR,-,UQCRB
"PTDSS1, PSS1, KIAA0024, LMHD",Phosphatidylserine synthase 1,612792,Lenz-Majewski hyperostotic dwarfism,151050,AD,-,PTDSS1
"POP1, ANXD2","Processing of precursor 1, S. cerevisiae, homolog of",602486,Anauxetic dysplasia 2,617396,AR,-,POP1
"VPS13B, KIAA0532, COH1","Vacuolar protein sorting 13, yeast, homolog of, B",607817,Cohen syndrome,216550,AR,-,VPS13B
"SPAG1, CILD28",Sperm-associated antigen-1,603395,"Ciliary dyskinesia, primary, 28",615505,AR,-,SPAG1
"GRHL2, TFCP2L3, DFNA28, ECTDS",Grainyhead-like 2,608576,"Deafness, autosomal dominant 28",608641,AD,-,GRHL2
"GRHL2, TFCP2L3, DFNA28, ECTDS",Grainyhead-like 2,608576,Ectodermal dysplasia/short stature syndrome,616029,AR,-,GRHL2
"RRM2B, P53R2, PEOA5, MTDPS8A, MTDPS8B","Ribonucleotide reductase M2 B, TP53 inducible",604712,Mitochondrial DNA depletion syndrome 8A (encephalomyopathic type with renal tubulopathy),612075,AR,-,RRM2B
"RRM2B, P53R2, PEOA5, MTDPS8A, MTDPS8B","Ribonucleotide reductase M2 B, TP53 inducible",604712,Mitochondrial DNA depletion syndrome 8B (MNGIE type),612075,AR,-,RRM2B
"RRM2B, P53R2, PEOA5, MTDPS8A, MTDPS8B","Ribonucleotide reductase M2 B, TP53 inducible",604712,"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 5",613077,AD,-,RRM2B
"FZD6, NDNC10","Frizzled, Drosophila, homolog of, 6",603409,"Nail disorder, nonsyndromic congenital, 10, (claw-shaped nails)",614157,AR,-,FZD6
CTHRC1,Collagen triple-helix repeat-containing protein 1,610635,Barrett esophagus/esophageal adenocarcinoma,614266,-,-,CTHRC1
"SLC25A32, MFT, RREI","Solute carrier family 25 (mitochondrial carrier, folate), member 32",610815,"?Exercise intolerance, riboflavin-responsive",616839,AR,mutation identified in 1 RREI patient,SLC25A32
"DPYS, DHP",Dihydropyrimidinase,613326,Dihydropyrimidinuria,222748,AR,-,DPYS
"ZFPM2, FOG2, DIH3, SRXY9","Zinc finger protein, multitype 2 (friend of GATA2)",603693,46XY sex reversal 9,616067,AD,-,ZFPM2
"ZFPM2, FOG2, DIH3, SRXY9","Zinc finger protein, multitype 2 (friend of GATA2)",603693,Diaphragmatic hernia 3,610187,-,-,ZFPM2
"ZFPM2, FOG2, DIH3, SRXY9","Zinc finger protein, multitype 2 (friend of GATA2)",603693,Tetralogy of Fallot,187500,AD,-,ZFPM2
TRPS1,Zinc finger transcription factor TRPS1,604386,"Trichorhinophalangeal syndrome, type I",190350,AD,-,TRPS1
TRPS1,Zinc finger transcription factor TRPS1,604386,"Trichorhinophalangeal syndrome, type III",190351,AD,-,TRPS1
"TRPS2, LGCR, LGS","Trichorhinophalangeal syndrome, type II (Langer-Giedion syndrome)",150230,"Trichorhinophalangeal syndrome, type II",150230,AD,contiguous gene syndrome involving TRPS1 and EXT1,TRPS2
"RAD21, SCC1, NXP1, KIAA0078, CDLS4","Rad21, S. pombe, homolog of",606462,Cornelia de Lange syndrome 4,614701,AD,-,RAD21
"SLC30A8, ZNT8","Solute carrier family 30 (zinc transporter), member 8",611145,"{Diabetes mellitus, noninsulin-dependent, susceptibility to}",125853,AD,-,SLC30A8
EXT1,Exostosin 1,608177,Chondrosarcoma,215300,AR,distal to TRPS1,EXT1
EXT1,Exostosin 1,608177,"Exostoses, multiple, type 1",133700,AD,-,EXT1
"TNFRSF11B, OPG, OCIF, PDB5","Tumor necrosis factor receptor superfamily, member 11B (osteoprotegerin)",602643,"Paget disease of bone 5, juvenile-onset",239000,AR,-,TNFRSF11B
"COLEC10, CLL1, 3MC3",Collectin 10,607620,3MC syndrome 3,248340,AR,-,COLEC10
"TAF2, TAF2B, TAFII150, CIF150, MRT40","TAF2 RAN polymerase II, TATA box-binding protein-associated factor, 150kD",604912,"Mental retardation, autosomal recessive 40",615599,AR,-,TAF2
"RNF139, TRC8, RCA1",RING finger protein 139,603046,Renal cell carcinoma,144700,-,-,RNF139
"NDUFB9, UQOR22","NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 9 (22kD, B22)",601445,?Mitochondrial complex I deficiency,252010,"XLD,Mi,AR",mutation identified in 1 family,NDUFB9
"WSHC5, KIAA0196, SPG8, RTSC1","WASH complex, subunit 5",610657,Ritscher-Schinzel syndrome 1,220210,AR,-,WSHC5
"WSHC5, KIAA0196, SPG8, RTSC1","WASH complex, subunit 5",610657,"Spastic paraplegia 8, autosomal dominant",603563,AD,-,WSHC5
"NSMCE2, NSE2, MMS21","Non-SMC element 2, S. cerevisiae, homolog of",617246,Seckel syndrome 10,617253,AR,-,NSMCE2
MYC,Avian myelocytomatosis viral (v-myc) oncogene homolog,190080,Burkitt lymphoma,113970,IC,cen-5'-3'-ter,MYC
"KCNQ3, EBN2, BFNC2","Potassium voltage-gated channel, KQT-like subfamily, member 3",602232,"Seizures, benign neonatal, 2",121201,AD,-,KCNQ3
"LRRC6, LRTP, CILD19",Leucine-rich repeat-containing protein 6,614930,"Ciliary dyskinesia, primary, 19",614935,AR,-,LRRC6
"TG, AITD3, TDH3",Thyroglobulin,188450,Thyroid dyshormonogenesis 3,274700,AR,distal to MYC,TG
"TG, AITD3, TDH3",Thyroglobulin,188450,"{Autoimmune thyroid disease, susceptibility to, 3}",608175,-,-,TG
"NDRG1, HMSNL, CMT4D",N-myc downstream-regulated gene 1,605262,"Charcot-Marie-Tooth disease, type 4D",601455,AR,-,NDRG1
"ZFAT1, ZNF406, AITD3",Zinc finger gene in autoimmune thyroid disease 1,610931,"{Autoimmune thyroid disease, susceptibility to, 3}",608175,-,-,ZFAT1
"KCNK9, TASK3","Potassium channel, subfamily K, member 9",605874,Birk-Barel mental retardation dysmorphism syndrome,612292,-,-,KCNK9
"TRAPPC9, NIBP, KIAA1882, MRT13",Trafficking protein particle complex 9,611966,"Mental retardation, autosomal recessive 13",613192,AR,-,TRAPPC9
"SLURP1, MDM",Secreted LY6/uPAR-related protein 1,606119,Meleda disease,248300,AR,-,SLURP1
"CYP11B1, P450C11, FHI","Cytochrome P450, subfamily XIB, polypeptide 1 (11-beta-hydroxylase; corticosteroid methyl-oxidase II (CMO II))",610613,"Adrenal hyperplasia, congenital, due to 11-beta-hydroxylase deficiency",202010,AR,chimeric CYP11B1/CYP11B2 gene = anti-Lepore-like,CYP11B1
"CYP11B1, P450C11, FHI","Cytochrome P450, subfamily XIB, polypeptide 1 (11-beta-hydroxylase; corticosteroid methyl-oxidase II (CMO II))",610613,"Aldosteronism, glucocorticoid-remediable",103900,AD,-,CYP11B1
CYP11B2,"Cytochrome P450, subfamily XIB, polypeptide 2",124080,Aldosterone to renin ratio raised,-,-,-,CYP11B2
CYP11B2,"Cytochrome P450, subfamily XIB, polypeptide 2",124080,"Hypoaldosteronism, congenital, due to CMO I deficiency",203400,AR,-,CYP11B2
CYP11B2,"Cytochrome P450, subfamily XIB, polypeptide 2",124080,"Hypoaldosteronism, congenital, due to CMO II deficiency",610600,AR,-,CYP11B2
CYP11B2,"Cytochrome P450, subfamily XIB, polypeptide 2",124080,"{Low renin hypertension, susceptibility to}",-,-,-,CYP11B2
"GPIHBP1, HYPL1D",Glycosylphosphatidylinositol-anchored high density lipoprotein-binding protein 1,612757,"Hyperlipoproteinemia, type 1D",615947,AR,-,GPIHBP1
"FAM83H, AI3A","Family with sequence similarity 83, member H",611927,"Amelogenesis imperfecta, type IIIA",130900,AD,-,FAM83H
"PUF60, FIR, SIAHBP1, VRJS","Poly-U-binding splicing factor, 60kD",604819,Verheij syndrome,615583,AD,-,PUF60
"PLEC1, PLEC, PLTN, EBS1, LGMD2Q, EBSOG, EBSPA, EBSMD, EBSND",Plectin 1,601282,?Epidermolysis bullosa simplex with nail dystrophy,616487,AR,mutation identified in 1 EBSND family,PLEC1
"PLEC1, PLEC, PLTN, EBS1, LGMD2Q, EBSOG, EBSPA, EBSMD, EBSND",Plectin 1,601282,Epidermolysis bullosa simplex with muscular dystrophy,226670,AR,-,PLEC1
"PLEC1, PLEC, PLTN, EBS1, LGMD2Q, EBSOG, EBSPA, EBSMD, EBSND",Plectin 1,601282,Epidermolysis bullosa simplex with pyloric atresia,612138,AR,-,PLEC1
"PLEC1, PLEC, PLTN, EBS1, LGMD2Q, EBSOG, EBSPA, EBSMD, EBSND",Plectin 1,601282,"Epidermolysis bullosa simplex, Ogna type",131950,AD,-,PLEC1
"PLEC1, PLEC, PLTN, EBS1, LGMD2Q, EBSOG, EBSPA, EBSMD, EBSND",Plectin 1,601282,"Muscular dystrophy, limb-girdle, type 2Q",613723,AR,-,PLEC1
"OPLAH, OPLAHD",5-oxoprolinase (ATP-hydrolyzing),614243,5-oxoprolinase deficiency,260005,"AD,AR",-,OPLAH
"GPAA1, GAA1, GPIBD15",Glycophosphatidylinositol anchor attachment protein 1,603048,Glycosylphosphatidylinositol biosynthesis defect 15,617810,-,-,GPAA1
"CYC1, MC3DN6",Cytochrome c1,123980,"Mitochondrial complex III deficiency, nuclear type 6",615453,AR,-,CYC1
"DGAT1, ARGP1, DIAR7",Diacylglycerol O-acyltransferase 1,604900,?Diarrhea 7,615863,AR,mutation identified in 1 DIAR7 family,DGAT1
"SLC52A2, GPR172A, GPCR41, PAR1, FLJ11856, BVVLS2","Solute carrier family 52, riboflavin transporter, member 2",607882,Brown-Vialetto-Van Laere syndrome 2,614707,AR,-,SLC52A2
"SLC39A4, ZIP4","Solute carrier family 36 (zinc transporter), member 4",607059,Acrodermatitis enteropathica,201100,AR,-,SLC39A4
"RECQL4, RTS, RECQ4","DNA helicase, RecQ-like 4",603780,Baller-Gerold syndrome,218600,AR,-,RECQL4
"RECQL4, RTS, RECQ4","DNA helicase, RecQ-like 4",603780,RAPADILINO syndrome,266280,AR,-,RECQL4
"RECQL4, RTS, RECQ4","DNA helicase, RecQ-like 4",603780,Rothmund-Thomson syndrome,268400,AR,-,RECQL4
"DEL9p, C9DELp",Chromosome 9p deletion syndrome,158170,Chromosome 9p deletion syndrome,158170,AD,-,DEL9p
"DEL9p24.3, C9DELp24.3, SRXY4",Chromosome 9p24.3 deletion syndrome,154230,46XY sex reversal 4,154230,-,-,DEL9p24.3
MRD2,"Mental retardation, autosomal dominant 2",614113,"Mental retardation, autosomal dominant 2",614113,AD,2 patients reported with genomic deletion or rearrangement including disruption of DOCK8,MRD2
DOCK8,Dedicator of cytokinesis 8,611432,"Hyper-IgE recurrent infection syndrome, autosomal recessive",243700,AR,-,DOCK8
"KANK1, KANK, ANKRD15, KIAA0172, CPSQ2",KN motif- and ankyrin repeat domain-containing protein 1,607704,"Cerebral palsy, spastic quadriplegic, 2",612900,-,-,KANK1
"SMARCA2, SNF2L2, NCBRS","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2",600014,Nicolaides-Baraitser syndrome,601358,AD,-,SMARCA2
"VLDLR, CAMRQ1",Very low density lipoprotein receptor,192977,Cerebellar hypoplasia and mental retardation with or without quadrupedal locomotion 1,224050,AR,-,VLDLR
"KCNV2, KV11.1, RCD3B","Potassium channel, voltage-gated, subfamily V, member 2",607604,Retinal cone dystrophy 3B,610356,AR,-,KCNV2
"GLIS3, ZNF515, NDH",GLIS family zinc finger protein 3,610192,"Diabetes mellitus, neonatal, with congenital hypothyroidism",610199,AR,-,GLIS3
"SLC1A1, EAAC1, SCZD18, DCBXA","Solute carrier family 1, member 1 (high-affinity glutamate transporter; excitatory amino acid carrier 1)",133550,Dicarboxylic aminoaciduria,222730,AR,mutation identified in 1 SCZD18 family,SLC1A1
